ポジション,属性,パラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,フォーカスDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,源田 幸次郎,2,火,GK,126,135.8,127.4,137.2,147,155.4,135.8,,5,3,,5,3,7,1,,1,2,2,,,,6,985,266,333,351,289,294,279,1335,,,,,,,,,,,
20,源田 幸次郎,1,火,GK,126,135.8,127.4,137.2,147,155.4,135.8,,,,,10,13,,,,,4,2,,,,6,985,261,325,346,294,292,272,1335,,,,,,,,,,,
21,大野 伝助,1,山,DF,116.2,120.4,123.2,133,138.6,119,149.8,,,,,,,,,,,,,,,,0,898,236,301,331.5,271,287,282,1156,,,,,,,,,,,
21,大野 伝助,2,山,DF,116.2,120.4,123.2,133,138.6,119,149.8,,,,,,,,,,,,,,,,0,898,236,301,331.5,271,287,282,1156,,,,,,,,,,,
22,万丈 一道,1,林,DF,110.6,116.2,113.4,137.2,142.8,119,159.6,,,,,,,,,,,,,,,,0,896,226,284,331.5,279,301,296,1176,,,,,,,,,,,
22,万丈 一道,2,林,DF,110.6,116.2,113.4,137.2,142.8,119,159.6,,,,,,,,,,,,,,,,0,896,226,284,331.5,279,301,296,1176,,,,,,,,,,,
23,成神 健也,1,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
23,成神 健也,2,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
24,五条 勝,2,林,DF,120.4,126,127.4,137.2,142.8,123.2,154,,5,3,3,5,,7,1,3,,,2,,,,6,952,251,321,352.5,287,308,301,1192,,,,,,,,,,,
24,五条 勝,1,林,DF,120.4,126,127.4,137.2,142.8,123.2,154,,,,6,10,,7,,4,,,2,,,,6,952,246,313,349.5,295,313,304,1192,,,,,,,,,,,
25,辺見 渡,1,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
25,辺見 渡,2,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
26,咲山 修二,1,火,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
26,咲山 修二,2,火,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
27,洞面 秀一郎,1,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
27,洞面 秀一郎,2,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
28,寺門 大貴,1,林,FW,149.8,145.6,133,117.6,114.8,109.2,130.2,,,,,,,,,,,,,,,,0,897,294,352.5,317.5,231,244,247,1012,,,,,,,,,,,
28,寺門 大貴,2,林,FW,149.8,145.6,133,117.6,114.8,109.2,130.2,,,,,,,,,,,,,,,,0,897,294,352.5,317.5,231,244,247,1012,,,,,,,,,,,
29,鬼道 有人,1,風,MF,145.6,156.8,152.6,127.4,128.8,119,140,,10,6,,,,7,3,,1,,2,,,,6,990,311,396.5,364.5,255,275,274,1114,,,,,,,,,,,
29,鬼道 有人,2,風,MF,145.6,156.8,152.6,127.4,128.8,119,140,10,10,3,,,,,2,,2,,2,,,,6,990,321,398.5,354.5,255,268,267,1114,,,,,,,,,,,
30,佐久間 次郎,2,林,FW,169.4,161,147,123.2,119,119,130.2,3,10,3,,,,7,1,2,1,,2,,,,6,991,343,407,346.5,242,256,260,1079,,,,,,,,,,,
30,佐久間 次郎,1,林,FW,169.4,161,147,123.2,119,119,130.2,13,10,,,,,,1,1,2,,2,,,,6,991,353,409,336.5,242,249,253,1079,,,,,,,,,,,
31,兵藤 雄平,1,林,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
31,兵藤 雄平,2,林,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
32,恵那 和樹,1,風,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
32,恵那 和樹,2,風,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
33,椋本 圭,1,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
33,椋本 圭,2,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
34,渋木 翔大,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
34,渋木 翔大,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
35,大楠 星士,1,山,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
35,大楠 星士,2,山,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
36,影山 零治,1,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
36,影山 零治,2,風,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
37,安西 勝,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
37,安西 勝,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
38,鉈 十三,1,風,GK,116.2,126,117.6,127.4,138.6,145.6,126,,,,,,,,,,,,,,,,0,895,242,301,315.5,265,264,253,1248,,,,,,,,,,,
38,鉈 十三,2,風,GK,116.2,126,117.6,127.4,138.6,145.6,126,,,,,,,,,,,,,,,,0,895,242,301,315.5,265,264,253,1248,,,,,,,,,,,
39,三途 渡,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
39,三途 渡,2,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
40,柳田 しげる,1,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
40,柳田 しげる,2,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
41,不乱 拳,1,山,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
41,不乱 拳,2,山,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
42,屍 藤美,1,火,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
42,屍 藤美,2,火,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
43,霊幻 道久,1,風,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
43,霊幻 道久,2,風,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
44,木乃伊 魔美,1,林,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
44,木乃伊 魔美,2,林,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
45,八墓 祟,1,火,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
45,八墓 祟,2,火,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
46,幽谷 博之,1,林,FW,159.6,151.2,137.2,113.4,109.2,109.2,120.4,,,,,,,,,,,,,,,,0,898,310,367.5,311.5,222,229,233,989,,,,,,,,,,,
46,幽谷 博之,2,林,FW,159.6,151.2,137.2,113.4,109.2,109.2,120.4,,,,,,,,,,,,,,,,0,898,310,367.5,311.5,222,229,233,989,,,,,,,,,,,
47,月村 憲一,1,火,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
47,月村 憲一,2,火,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
48,武羅渡 牙,1,山,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
48,武羅渡 牙,2,山,MF,130.2,151.2,152.6,113.4,109.2,109.2,135.8,,,,,,,,,,,,,,,,0,899,281,368,341.5,222,244,248,989,,,,,,,,,,,
49,不死 祀,1,山,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
49,不死 祀,2,山,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
50,人形 幻,1,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
50,人形 幻,2,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
51,円谷 未知,1,風,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
51,円谷 未知,2,風,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
52,黒上 呪,1,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
52,黒上 呪,2,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
53,魔界 崇雄,1,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
53,魔界 崇雄,2,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
54,地木流 灰人,1,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
54,地木流 灰人,2,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
56,提灯 ほのり,1,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
56,提灯 ほのり,2,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
57,猪口 兵吾,1,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
57,猪口 兵吾,2,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
58,鶏井 亮太,1,火,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
58,鶏井 亮太,2,火,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
59,魚住 拓人,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
59,魚住 拓人,2,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
60,蛙田 達士,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
60,蛙田 達士,2,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
61,獅子王 吼,1,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
61,獅子王 吼,2,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
62,香芽 レオン,1,風,MF,135.8,145.6,142.8,117.6,119,109.2,130.2,,,,,,,,,,,,,,,,0,897,280,354.5,326.5,236,249,247,1027,,,,,,,,,,,
62,香芽 レオン,2,風,MF,135.8,145.6,142.8,117.6,119,109.2,130.2,,,,,,,,,,,,,,,,0,897,280,354.5,326.5,236,249,247,1027,,,,,,,,,,,
63,大鷲 誠次,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
63,大鷲 誠次,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
64,猿田 登,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
64,猿田 登,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
65,五利 真吾,1,山,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
65,五利 真吾,2,山,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
66,蛇丸 彰真,1,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
66,蛇丸 彰真,2,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
67,水前寺 馳威太,1,風,FW,159.6,151.2,137.2,113.4,109.2,109.2,120.4,,,,,,,,,,,,,,,,0,898,310,367.5,311.5,222,229,233,989,,,,,,,,,,,
67,水前寺 馳威太,2,風,FW,159.6,151.2,137.2,113.4,109.2,109.2,120.4,,,,,,,,,,,,,,,,0,898,310,367.5,311.5,222,229,233,989,,,,,,,,,,,
68,小荒 登,1,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
68,小荒 登,2,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
69,判 竹夫,1,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
69,判 竹夫,2,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
70,荒井川 熊巳,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
70,荒井川 熊巳,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
71,根津 光夫,1,山,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
71,根津 光夫,2,山,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
72,牛尾 空也,1,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
72,牛尾 空也,2,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
73,他山 幸助,1,風,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
73,他山 幸助,2,風,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
74,富良 民子,1,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
74,富良 民子,2,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
75,杉森 威,1,林,GK,116.2,126,117.6,127.4,138.6,145.6,126,,,,,,,,,,,,,,,,0,895,242,301,315.5,265,264,253,1248,,,,,,,,,,,
75,杉森 威,2,林,GK,116.2,126,117.6,127.4,138.6,145.6,126,,,,,,,,,,,,,,,,0,895,242,301,315.5,265,264,253,1248,,,,,,,,,,,
77,弘山 誘,1,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
77,弘山 誘,2,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
79,花岡 強,1,火,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
79,花岡 強,2,火,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
81,室伏 恐,1,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
81,室伏 恐,2,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
83,稲田 則,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
83,稲田 則,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
